X2,X4,X5,X6,adversaire,score_france,score_adversaire,penalty_france,penalty_adversaire,date,year,outcome,no
1er mai 1904,Belgique - France,3-3,Match amical,Belgique,3,3,NA,NA,1904-05-01,1904,draw,1
12 février 1905,France - Suisse,1-0,Match amical,Suisse,1,0,NA,NA,1905-02-12,1905,win,1
7 mai 1905,Belgique - France,7-0,Match amical,Belgique,0,7,NA,NA,1905-05-07,1905,loss,2
22 avril 1906,France - Belgique,0-5,Match amical,Belgique,0,5,NA,NA,1906-04-22,1906,loss,1
1er novembre 1906,France - Angleterre,0-15,Match amical,Angleterre,0,1,NA,NA,1906-11-01,1906,loss,2
21 avril 1907,Belgique - France,1-2,Match amical,Belgique,2,1,NA,NA,1907-04-21,1907,win,1
8 mars 1908,Suisse - France,1-2,Match amical,Suisse,2,1,NA,NA,1908-03-08,1908,win,1
23 mars 1908,Angleterre - France,12-0,Match amical,Angleterre,10,12,NA,NA,1908-03-23,1908,loss,2
12 avril 1908,France - Belgique,1-2,Match amical,Belgique,1,2,NA,NA,1908-04-12,1908,loss,3
10 mai 1908,Pays-Bas - France,4-1,Match amical,Pays-Bas,1,4,NA,NA,1908-05-10,1908,loss,4
22 octobre 1908,France - Danemark,1-17,Jeux olympiques 1908[40](Demi-finale),Danemark,1,1,NA,NA,1908-10-22,1908,draw,5
8 mai 1909,Belgique - France,5-2,Match amical,Belgique,2,5,NA,NA,1909-05-08,1909,loss,1
22 mai 1909,France - Angleterre,0-11,Match amical,Angleterre,0,1,NA,NA,1909-05-22,1909,loss,2
3 avril 1910,France - Belgique,0-4,Match amical,Belgique,0,4,NA,NA,1910-04-03,1910,loss,1
16 avril 1910,Angleterre - France,10-1,Match amical,Angleterre,11,10,NA,NA,1910-04-16,1910,win,2
15 mai 1910,Italie - France,6-2,Match amical,Italie,2,6,NA,NA,1910-05-15,1910,loss,3
1er janvier 1911,France - Hongrie,0-3,Match amical,Hongrie,0,3,NA,NA,1911-01-01,1911,loss,1
23 mars 1911,France - Angleterre,0-3,Match amical,Angleterre,0,3,NA,NA,1911-03-23,1911,loss,2
9 avril 1911,France - Italie,2-2,Match amical,Italie,2,2,NA,NA,1911-04-09,1911,draw,3
23 avril 1911,Suisse - France,5-2,Match amical,Suisse,2,5,NA,NA,1911-04-23,1911,loss,4
30 avril 1911,Belgique - France,7-1,Match amical,Belgique,1,7,NA,NA,1911-04-30,1911,loss,5
29 octobre 1911,Luxembourg - France,1-4,Match amical,Luxembourg,4,1,NA,NA,1911-10-29,1911,win,6
28 janvier 1912,France - Belgique,1-1,Match amical,Belgique,1,1,NA,NA,1912-01-28,1912,draw,1
18 février 1912,France - Suisse,4-1,Match amical,Suisse,4,1,NA,NA,1912-02-18,1912,win,2
17 mars 1912,Italie - France,3-4,Match amical,Italie,4,3,NA,NA,1912-03-17,1912,win,3
12 janvier 1913,France - Italie,1-0,Match amical,Italie,1,0,NA,NA,1913-01-12,1913,win,1
16 février 1913,Belgique - France,3-0,Match amical,Belgique,0,3,NA,NA,1913-02-16,1913,loss,2
27 février 1913,France - Angleterre,1-4,Match amical,Angleterre,1,4,NA,NA,1913-02-27,1913,loss,3
9 mars 1913,Suisse - France,1-4,Match amical,Suisse,4,1,NA,NA,1913-03-09,1913,win,4
20 avril 1913,France - Luxembourg,8-0,Match amical,Luxembourg,8,0,NA,NA,1913-04-20,1913,win,5
25 janvier 1914,France - Belgique,4-3,Match amical,Belgique,4,3,NA,NA,1914-01-25,1914,win,1
8 février 1914,Luxembourg - France,5-4,Match amical,Luxembourg,4,5,NA,NA,1914-02-08,1914,loss,2
8 mars 1914,France - Suisse,2-2,Match amical,Suisse,2,2,NA,NA,1914-03-08,1914,draw,3
